		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 24-May-2024

Propeller Diameter 	 = 0.3500 m
Number of Blades   	 = 2
Propeller Speed 	 = 700 RPM
Propeller Hub Diameter 	 = 0.0860 m
Meanline  Type: NACA a=0.8 (modified)
Thickness Type: NACA 65A010 (modified)
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2457  0.0804  0.2974  0.0926  1.5170  63.0306  0.0000  0.0000
0.3049  0.0907  0.2409  0.0789  1.4653  56.8274  0.0000  0.0000
0.3637  0.0996  0.2047  0.0703  1.4572  51.8994  0.0000  0.0000
0.4218  0.1069  0.1737  0.0637  1.4527  47.6291  0.0000  0.0000
0.4788  0.1118  0.1591  0.0586  1.4502  43.9522  0.0000  0.0000
0.5344  0.1140  0.1490  0.0548  1.4489  40.7975  0.0000  0.0000
0.5882  0.1133  0.1428  0.0520  1.4486  38.0965  0.0000  0.0000
0.6398  0.1114  0.1383  0.0495  1.4483  35.7737  0.0000  0.0000
0.6891  0.1088  0.1348  0.0469  1.4477  33.7729  0.0000  0.0000
0.7356  0.1053  0.1327  0.0445  1.4470  32.0533  0.0000  0.0000
0.7791  0.1001  0.1330  0.0425  1.4465  30.5835  0.0000  0.0000
0.8193  0.0932  0.1365  0.0410  1.4464  29.3343  0.0000  0.0000
0.8559  0.0854  0.1432  0.0397  1.4462  28.2722  0.0000  0.0000
0.8888  0.0777  0.1508  0.0381  1.4453  27.3660  0.0000  0.0000
0.9178  0.0701  0.1587  0.0361  1.4438  26.5996  0.0000  0.0000
0.9426  0.0599  0.1728  0.0355  1.4437  25.9908  0.0000  0.0000
0.9631  0.0475  0.1822  0.0360  1.4449  25.5276  0.0000  0.0000
0.9792  0.0349  0.1580  0.0371  1.4469  25.1908  0.0000  0.0000
0.9907  0.0227  0.1140  0.0385  1.4492  24.9668  0.0000  0.0000
0.9977  0.0110  0.0598  0.0395  1.4509  24.8402  0.0000  0.0000
1.0000  0.0000  0.0000  0.0400  1.4516  24.7994  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
