		 450RPM_Geometry.txt 

		 Propeller Geometry Table

Date and time: 24-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 450 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0656  0.3853  0.0908  1.0285  60.9544  0.0000  0.0000
0.2460  0.0805  0.2970  0.0698  0.9909  52.0479  0.0000  0.0000
0.3098  0.0915  0.2375  0.0592  0.9865  45.3850  0.0000  0.0000
0.3728  0.1009  0.1984  0.0513  0.9838  40.0294  0.0000  0.0000
0.4347  0.1082  0.1698  0.0451  0.9820  35.7210  0.0000  0.0000
0.4949  0.1127  0.1559  0.0404  0.9808  32.2444  0.0000  0.0000
0.5533  0.1140  0.1465  0.0371  0.9803  29.4226  0.0000  0.0000
0.6093  0.1126  0.1409  0.0345  0.9801  27.1134  0.0000  0.0000
0.6627  0.1103  0.1365  0.0322  0.9798  25.2020  0.0000  0.0000
0.7132  0.1072  0.1335  0.0301  0.9794  23.6112  0.0000  0.0000
0.7604  0.1026  0.1325  0.0283  0.9790  22.2857  0.0000  0.0000
0.8040  0.0961  0.1347  0.0270  0.9789  21.1841  0.0000  0.0000
0.8437  0.0882  0.1407  0.0260  0.9788  20.2680  0.0000  0.0000
0.8794  0.0800  0.1486  0.0249  0.9785  19.5024  0.0000  0.0000
0.9108  0.0722  0.1563  0.0234  0.9775  18.8606  0.0000  0.0000
0.9377  0.0623  0.1692  0.0229  0.9774  18.3545  0.0000  0.0000
0.9600  0.0496  0.1832  0.0230  0.9781  17.9687  0.0000  0.0000
0.9774  0.0365  0.1624  0.0236  0.9792  17.6868  0.0000  0.0000
0.9899  0.0237  0.1181  0.0243  0.9805  17.4985  0.0000  0.0000
0.9975  0.0115  0.0622  0.0249  0.9815  17.3918  0.0000  0.0000
1.0000  0.0000  0.0000  0.0251  0.9820  17.3574  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
