		 Constante corde 2.0_Geometry.txt 

		 Propeller Geometry Table

Date and time: 16-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0600  0.4210  0.1217  0.9723  59.5677  0.0000  0.0000
0.2460  0.0600  0.3985  0.1124  0.9465  50.7658  0.0000  0.0000
0.3098  0.0600  0.3621  0.1071  0.9489  44.2735  0.0000  0.0000
0.3728  0.0600  0.3337  0.1013  0.9505  39.0602  0.0000  0.0000
0.4347  0.0600  0.3061  0.0948  0.9512  34.8609  0.0000  0.0000
0.4949  0.0600  0.2929  0.0881  0.9511  31.4547  0.0000  0.0000
0.5533  0.0600  0.2783  0.0813  0.9503  28.6664  0.0000  0.0000
0.6093  0.0600  0.2644  0.0746  0.9488  26.3649  0.0000  0.0000
0.6627  0.0600  0.2507  0.0681  0.9466  24.4490  0.0000  0.0000
0.7132  0.0600  0.2387  0.0617  0.9436  22.8391  0.0000  0.0000
0.7604  0.0602  0.2292  0.0554  0.9400  21.4798  0.0000  0.0000
0.8040  0.0602  0.2213  0.0494  0.9359  20.3320  0.0000  0.0000
0.8437  0.0598  0.2143  0.0439  0.9316  19.3645  0.0000  0.0000
0.8794  0.0593  0.2076  0.0385  0.9268  18.5435  0.0000  0.0000
0.9108  0.0595  0.1989  0.0327  0.9209  17.8401  0.0000  0.0000
0.9377  0.0603  0.1889  0.0269  0.9144  17.2444  0.0000  0.0000
0.9600  0.0607  0.1846  0.0215  0.9079  16.7537  0.0000  0.0000
0.9774  0.0596  0.1833  0.0168  0.9020  16.3710  0.0000  0.0000
0.9899  0.0566  0.1855  0.0133  0.8975  16.0981  0.0000  0.0000
0.9975  0.0519  0.1945  0.0111  0.8947  15.9348  0.0000  0.0000
1.0000  0.0000  -8.2203  0.0103  0.8937  15.8805  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
