		 ContstanteCorde 3_Geometry.txt 

		 Propeller Geometry Table

Date and time: 23-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0600  0.4167  0.1217  0.9723  59.5679  0.0000  0.0000
0.2460  0.0600  0.4167  0.1124  0.9465  50.7660  0.0000  0.0000
0.3098  0.0600  0.4167  0.1071  0.9489  44.2737  0.0000  0.0000
0.3728  0.0600  0.4167  0.1013  0.9505  39.0604  0.0000  0.0000
0.4347  0.0600  0.4166  0.0948  0.9512  34.8608  0.0000  0.0000
0.4949  0.0600  0.4167  0.0881  0.9511  31.4548  0.0000  0.0000
0.5533  0.0600  0.4169  0.0814  0.9503  28.6678  0.0000  0.0000
0.6093  0.0600  0.4165  0.0746  0.9487  26.3644  0.0000  0.0000
0.6627  0.0601  0.4159  0.0680  0.9464  24.4453  0.0000  0.0000
0.7132  0.0599  0.4174  0.0619  0.9438  22.8431  0.0000  0.0000
0.7604  0.0595  0.4201  0.0560  0.9407  21.4947  0.0000  0.0000
0.8040  0.0596  0.4194  0.0499  0.9365  20.3431  0.0000  0.0000
0.8437  0.0603  0.4146  0.0435  0.9312  19.3561  0.0000  0.0000
0.8794  0.0612  0.4083  0.0373  0.9253  18.5169  0.0000  0.0000
0.9108  0.0620  0.4031  0.0314  0.9193  17.8109  0.0000  0.0000
0.9377  0.0625  0.4003  0.0259  0.9131  17.2216  0.0000  0.0000
0.9600  0.0623  0.4013  0.0208  0.9070  16.7390  0.0000  0.0000
0.9774  0.0607  0.4118  0.0165  0.9017  16.3648  0.0000  0.0000
0.9899  0.0502  0.4982  0.0133  0.8976  16.0988  0.0000  0.0000
0.9975  0.0237  0.3914  0.0113  0.8950  15.9399  0.0000  0.0000
1.0000  0.0000  0.0000  0.0106  0.8941  15.8871  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
