		 Fabricage Defo_Geometry.txt 

		 Propeller Geometry Table

Date and time: 23-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0656  0.3853  0.0813  0.9078  57.8226  0.0000  0.0000
0.2460  0.0805  0.2970  0.0615  0.8799  48.7062  0.0000  0.0000
0.3098  0.0915  0.2375  0.0512  0.8771  42.0235  0.0000  0.0000
0.3728  0.1009  0.1984  0.0438  0.8752  36.7690  0.0000  0.0000
0.4347  0.1082  0.1698  0.0381  0.8738  32.6157  0.0000  0.0000
0.4949  0.1127  0.1559  0.0339  0.8729  29.3098  0.0000  0.0000
0.5533  0.1140  0.1465  0.0309  0.8725  26.6543  0.0000  0.0000
0.6093  0.1126  0.1409  0.0287  0.8723  24.4989  0.0000  0.0000
0.6627  0.1103  0.1365  0.0267  0.8721  22.7270  0.0000  0.0000
0.7132  0.1072  0.1335  0.0249  0.8718  21.2603  0.0000  0.0000
0.7604  0.1026  0.1325  0.0234  0.8715  20.0433  0.0000  0.0000
0.8040  0.0961  0.1347  0.0223  0.8714  19.0346  0.0000  0.0000
0.8437  0.0882  0.1407  0.0214  0.8714  18.1979  0.0000  0.0000
0.8794  0.0800  0.1486  0.0205  0.8711  17.5006  0.0000  0.0000
0.9108  0.0722  0.1563  0.0193  0.8704  16.9181  0.0000  0.0000
0.9377  0.0623  0.1692  0.0189  0.8703  16.4583  0.0000  0.0000
0.9600  0.0496  0.1832  0.0190  0.8709  16.1069  0.0000  0.0000
0.9774  0.0365  0.1624  0.0195  0.8718  15.8498  0.0000  0.0000
0.9899  0.0237  0.1181  0.0201  0.8729  15.6777  0.0000  0.0000
0.9975  0.0115  0.0622  0.0206  0.8738  15.5799  0.0000  0.0000
1.0000  0.0000  0.0000  0.0208  0.8741  15.5483  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
