		 Oudstaartstuk_Geometry.txt 

		 Propeller Geometry Table

Date and time: 04-Feb-2020

Propeller Diameter 	 = 0.4700 m
Number of Blades   	 = 2
Propeller Speed 	 = 450 RPM
Propeller Hub Diameter 	 = 0.0892 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1899  0.0675  0.3725  0.0724  0.9278  57.2629  0.0000  0.0000
0.2534  0.0820  0.2889  0.0553  0.9018  48.5599  0.0000  0.0000
0.3166  0.0925  0.2330  0.0465  0.8990  42.1107  0.0000  0.0000
0.3790  0.1018  0.1941  0.0399  0.8972  36.9999  0.0000  0.0000
0.4402  0.1087  0.1682  0.0349  0.8959  32.9347  0.0000  0.0000
0.4999  0.1130  0.1549  0.0311  0.8950  29.6789  0.0000  0.0000
0.5577  0.1139  0.1460  0.0285  0.8946  27.0505  0.0000  0.0000
0.6132  0.1124  0.1405  0.0265  0.8944  24.9071  0.0000  0.0000
0.6660  0.1101  0.1363  0.0247  0.8942  23.1391  0.0000  0.0000
0.7160  0.1069  0.1333  0.0230  0.8939  21.6718  0.0000  0.0000
0.7627  0.1023  0.1325  0.0217  0.8936  20.4518  0.0000  0.0000
0.8059  0.0958  0.1349  0.0207  0.8935  19.4384  0.0000  0.0000
0.8453  0.0878  0.1410  0.0199  0.8935  18.5961  0.0000  0.0000
0.8806  0.0797  0.1488  0.0190  0.8932  17.8935  0.0000  0.0000
0.9117  0.0719  0.1566  0.0179  0.8925  17.3070  0.0000  0.0000
0.9383  0.0620  0.1696  0.0175  0.8924  16.8428  0.0000  0.0000
0.9603  0.0493  0.1831  0.0176  0.8929  16.4870  0.0000  0.0000
0.9776  0.0363  0.1619  0.0181  0.8938  16.2262  0.0000  0.0000
0.9900  0.0236  0.1176  0.0187  0.8949  16.0513  0.0000  0.0000
0.9975  0.0114  0.0619  0.0192  0.8957  15.9518  0.0000  0.0000
1.0000  0.0000  0.0000  0.0194  0.8961  15.9196  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
