		 SOLAR prop v2_Geometry.txt 

		 Propeller Geometry Table

Date and time: 16-Dec-2020

Propeller Diameter 	 = 0.3500 m
Number of Blades   	 = 2
Propeller Speed 	 = 600 RPM
Propeller Hub Diameter 	 = 0.0720 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2057  0.0945  0.2633  0.0338  1.9133  71.3361  0.0000  0.0000
0.2680  0.0990  0.2348  0.0322  1.8771  65.8394  0.0000  0.0000
0.3300  0.1066  0.1995  0.0307  1.8687  60.9821  0.0000  0.0000
0.3911  0.1141  0.1696  0.0291  1.8635  56.5988  0.0000  0.0000
0.4512  0.1204  0.1507  0.0276  1.8600  52.6911  0.0000  0.0000
0.5097  0.1251  0.1387  0.0261  1.8575  49.2384  0.0000  0.0000
0.5663  0.1283  0.1286  0.0246  1.8556  46.2058  0.0000  0.0000
0.6207  0.1298  0.1208  0.0233  1.8541  43.5550  0.0000  0.0000
0.6726  0.1298  0.1149  0.0219  1.8528  41.2462  0.0000  0.0000
0.7216  0.1282  0.1106  0.0207  1.8516  39.2424  0.0000  0.0000
0.7674  0.1249  0.1080  0.0195  1.8505  37.5100  0.0000  0.0000
0.8097  0.1201  0.1071  0.0184  1.8494  36.0194  0.0000  0.0000
0.8483  0.1134  0.1089  0.0175  1.8485  34.7450  0.0000  0.0000
0.8830  0.1051  0.1125  0.0166  1.8475  33.6654  0.0000  0.0000
0.9134  0.0947  0.1189  0.0158  1.8467  32.7623  0.0000  0.0000
0.9395  0.0833  0.1244  0.0151  1.8459  32.0206  0.0000  0.0000
0.9611  0.0702  0.1203  0.0146  1.8451  31.4282  0.0000  0.0000
0.9781  0.0538  0.1200  0.0141  1.8446  30.9772  0.0000  0.0000
0.9902  0.0357  0.1399  0.0138  1.8442  30.6607  0.0000  0.0000
0.9976  0.0175  0.2378  0.0137  1.8440  30.4732  0.0000  0.0000
1.0000  0.0000  16284401910000.5020  0.0136  1.8440  30.4111  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
