		 Salmon prop v1_Geometry.txt 

		 Propeller Geometry Table

Date and time: 11-Mar-2021

Propeller Diameter 	 = 0.3500 m
Number of Blades   	 = 2
Propeller Speed 	 = 700 RPM
Propeller Hub Diameter 	 = 0.0660 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1886  0.0672  0.3745  0.1017  1.5638  69.2517  0.0000  0.0000
0.2522  0.0818  0.2902  0.0826  1.4819  61.8652  0.0000  0.0000
0.3155  0.0923  0.2337  0.0736  1.4672  55.9584  0.0000  0.0000
0.3780  0.1016  0.1948  0.0667  1.4592  50.8617  0.0000  0.0000
0.4393  0.1086  0.1685  0.0610  1.4547  46.5065  0.0000  0.0000
0.4991  0.1130  0.1550  0.0566  1.4522  42.8058  0.0000  0.0000
0.5570  0.1139  0.1461  0.0533  1.4512  39.6723  0.0000  0.0000
0.6125  0.1125  0.1406  0.0507  1.4509  37.0148  0.0000  0.0000
0.6655  0.1102  0.1363  0.0481  1.4503  34.7479  0.0000  0.0000
0.7156  0.1070  0.1334  0.0455  1.4495  32.8140  0.0000  0.0000
0.7623  0.1024  0.1325  0.0433  1.4488  31.1711  0.0000  0.0000
0.8056  0.0958  0.1348  0.0416  1.4485  29.7844  0.0000  0.0000
0.8450  0.0879  0.1410  0.0403  1.4484  28.6162  0.0000  0.0000
0.8804  0.0798  0.1488  0.0388  1.4477  27.6275  0.0000  0.0000
0.9116  0.0720  0.1565  0.0366  1.4459  26.7892  0.0000  0.0000
0.9382  0.0621  0.1695  0.0358  1.4456  26.1256  0.0000  0.0000
0.9603  0.0494  0.1832  0.0362  1.4468  25.6211  0.0000  0.0000
0.9776  0.0363  0.1620  0.0372  1.4489  25.2561  0.0000  0.0000
0.9900  0.0236  0.1177  0.0386  1.4514  25.0162  0.0000  0.0000
0.9975  0.0115  0.0620  0.0398  1.4535  24.8825  0.0000  0.0000
1.0000  0.0000  0.0000  0.0402  1.4543  24.8398  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
