		 Salmon prop v2_Geometry.txt 

		 Propeller Geometry Table

Date and time: 11-Mar-2021

Propeller Diameter 	 = 0.3500 m
Number of Blades   	 = 2
Propeller Speed 	 = 750 RPM
Propeller Hub Diameter 	 = 0.0660 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 66 (DTRC modified)
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1886  0.0672  0.3745  0.0944  1.4259  67.4387  0.0000  0.0000
0.2522  0.0818  0.2902  0.0760  1.3599  59.7705  0.0000  0.0000
0.3155  0.0923  0.2337  0.0672  1.3487  53.6872  0.0000  0.0000
0.3780  0.1016  0.1948  0.0603  1.3426  48.5073  0.0000  0.0000
0.4393  0.1086  0.1685  0.0547  1.3390  44.1329  0.0000  0.0000
0.4991  0.1130  0.1550  0.0504  1.3370  40.4541  0.0000  0.0000
0.5570  0.1139  0.1461  0.0472  1.3361  37.3659  0.0000  0.0000
0.6125  0.1125  0.1406  0.0447  1.3358  34.7665  0.0000  0.0000
0.6655  0.1102  0.1363  0.0422  1.3353  32.5642  0.0000  0.0000
0.7156  0.1070  0.1334  0.0398  1.3346  30.6963  0.0000  0.0000
0.7623  0.1024  0.1325  0.0378  1.3339  29.1166  0.0000  0.0000
0.8056  0.0958  0.1348  0.0362  1.3337  27.7878  0.0000  0.0000
0.8450  0.0879  0.1410  0.0350  1.3335  26.6716  0.0000  0.0000
0.8804  0.0798  0.1488  0.0336  1.3330  25.7301  0.0000  0.0000
0.9116  0.0720  0.1565  0.0317  1.3314  24.9349  0.0000  0.0000
0.9382  0.0621  0.1695  0.0310  1.3312  24.3053  0.0000  0.0000
0.9603  0.0494  0.1832  0.0313  1.3322  23.8254  0.0000  0.0000
0.9776  0.0363  0.1620  0.0321  1.3339  23.4764  0.0000  0.0000
0.9900  0.0236  0.1177  0.0333  1.3359  23.2453  0.0000  0.0000
0.9975  0.0115  0.0620  0.0343  1.3377  23.1155  0.0000  0.0000
1.0000  0.0000  0.0000  0.0346  1.3383  23.0738  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
