		 Schroefblad1750_Geometry.txt 

		 Propeller Geometry Table

Date and time: 10-Mar-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 475 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.0652  1.3177  64.1793  0.0000  0.0000
0.2655  0.0843  0.2765  0.0530  1.2777  56.8651  0.0000  0.0000
0.3276  0.0942  0.2262  0.0467  1.2710  50.9982  0.0000  0.0000
0.3890  0.1031  0.1875  0.0416  1.2670  46.0329  0.0000  0.0000
0.4493  0.1095  0.1659  0.0377  1.2647  41.8620  0.0000  0.0000
0.5080  0.1133  0.1534  0.0347  1.2632  38.3647  0.0000  0.0000
0.5648  0.1138  0.1452  0.0325  1.2626  35.4343  0.0000  0.0000
0.6194  0.1122  0.1400  0.0307  1.2622  32.9697  0.0000  0.0000
0.6714  0.1098  0.1359  0.0289  1.2618  30.8862  0.0000  0.0000
0.7206  0.1066  0.1331  0.0272  1.2612  29.1227  0.0000  0.0000
0.7666  0.1018  0.1326  0.0258  1.2607  27.6328  0.0000  0.0000
0.8090  0.0952  0.1352  0.0248  1.2605  26.3790  0.0000  0.0000
0.8478  0.0873  0.1415  0.0239  1.2604  25.3250  0.0000  0.0000
0.8825  0.0792  0.1493  0.0230  1.2599  24.4380  0.0000  0.0000
0.9131  0.0715  0.1570  0.0217  1.2589  23.6939  0.0000  0.0000
0.9393  0.0615  0.1703  0.0212  1.2587  23.1006  0.0000  0.0000
0.9610  0.0489  0.1830  0.0214  1.2594  22.6435  0.0000  0.0000
0.9780  0.0360  0.1610  0.0220  1.2606  22.3080  0.0000  0.0000
0.9902  0.0234  0.1168  0.0228  1.2621  22.0829  0.0000  0.0000
0.9975  0.0113  0.0614  0.0235  1.2633  21.9549  0.0000  0.0000
1.0000  0.0000  0.0000  0.0238  1.2638  21.9135  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
