		 Fabricage Defo_Geometry.txt 

		 Propeller Geometry Table

Date and time: 23-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0656  0.3853  0.0923  0.9285  58.4018  0.0000  0.0000
0.2460  0.0805  0.2970  0.0699  0.8968  49.2460  0.0000  0.0000
0.3098  0.0915  0.2375  0.0584  0.8938  42.5611  0.0000  0.0000
0.3728  0.1009  0.1984  0.0500  0.8917  37.2844  0.0000  0.0000
0.4347  0.1082  0.1698  0.0435  0.8902  33.1016  0.0000  0.0000
0.4949  0.1127  0.1559  0.0388  0.8892  29.7655  0.0000  0.0000
0.5533  0.1140  0.1465  0.0354  0.8888  27.0825  0.0000  0.0000
0.6093  0.1126  0.1409  0.0328  0.8887  24.9025  0.0000  0.0000
0.6627  0.1103  0.1365  0.0305  0.8884  23.1081  0.0000  0.0000
0.7132  0.1072  0.1335  0.0285  0.8881  21.6212  0.0000  0.0000
0.7604  0.1026  0.1325  0.0268  0.8877  20.3867  0.0000  0.0000
0.8040  0.0961  0.1347  0.0255  0.8876  19.3634  0.0000  0.0000
0.8437  0.0882  0.1407  0.0245  0.8877  18.5145  0.0000  0.0000
0.8794  0.0800  0.1486  0.0235  0.8874  17.8061  0.0000  0.0000
0.9108  0.0722  0.1563  0.0221  0.8865  17.2129  0.0000  0.0000
0.9377  0.0623  0.1692  0.0216  0.8864  16.7458  0.0000  0.0000
0.9600  0.0496  0.1832  0.0218  0.8870  16.3904  0.0000  0.0000
0.9774  0.0365  0.1624  0.0223  0.8881  16.1311  0.0000  0.0000
0.9899  0.0237  0.1181  0.0230  0.8893  15.9584  0.0000  0.0000
0.9975  0.0115  0.0622  0.0235  0.8903  15.8607  0.0000  0.0000
1.0000  0.0000  0.0000  0.0238  0.8907  15.8292  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
