		 Schroefblad350 (1,5ms)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Apr-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 350 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.1069  0.7558  49.8486  0.0000  0.0000
0.2655  0.0843  0.2765  0.0795  0.7325  41.2906  0.0000  0.0000
0.3276  0.0942  0.2262  0.0652  0.7326  35.4405  0.0000  0.0000
0.3890  0.1031  0.1875  0.0547  0.7317  30.9090  0.0000  0.0000
0.4493  0.1095  0.1659  0.0473  0.7308  27.3762  0.0000  0.0000
0.5080  0.1133  0.1534  0.0419  0.7302  24.5881  0.0000  0.0000
0.5648  0.1138  0.1452  0.0381  0.7301  22.3647  0.0000  0.0000
0.6194  0.1122  0.1400  0.0353  0.7301  20.5656  0.0000  0.0000
0.6714  0.1098  0.1359  0.0328  0.7300  19.0883  0.0000  0.0000
0.7206  0.1066  0.1331  0.0306  0.7297  17.8664  0.0000  0.0000
0.7666  0.1018  0.1326  0.0288  0.7296  16.8541  0.0000  0.0000
0.8090  0.0952  0.1352  0.0275  0.7296  16.0170  0.0000  0.0000
0.8478  0.0873  0.1415  0.0265  0.7297  15.3225  0.0000  0.0000
0.8825  0.0792  0.1493  0.0254  0.7295  14.7411  0.0000  0.0000
0.9131  0.0715  0.1570  0.0240  0.7287  14.2523  0.0000  0.0000
0.9393  0.0615  0.1703  0.0235  0.7287  13.8702  0.0000  0.0000
0.9610  0.0489  0.1830  0.0237  0.7294  13.5832  0.0000  0.0000
0.9780  0.0360  0.1610  0.0244  0.7307  13.3782  0.0000  0.0000
0.9902  0.0234  0.1168  0.0253  0.7322  13.2457  0.0000  0.0000
0.9975  0.0113  0.0614  0.0261  0.7335  13.1728  0.0000  0.0000
1.0000  0.0000  0.0000  0.0264  0.7340  13.1498  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
