		 Schroefblad350 (160N)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Apr-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 350 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.1262  1.4378  66.0842  0.0000  0.0000
0.2655  0.0843  0.2765  0.1022  1.3629  58.5351  0.0000  0.0000
0.3276  0.0942  0.2262  0.0904  1.3521  52.7189  0.0000  0.0000
0.3890  0.1031  0.1875  0.0807  1.3456  47.7528  0.0000  0.0000
0.4493  0.1095  0.1659  0.0733  1.3421  43.5590  0.0000  0.0000
0.5080  0.1133  0.1534  0.0675  1.3402  40.0242  0.0000  0.0000
0.5648  0.1138  0.1452  0.0633  1.3397  37.0532  0.0000  0.0000
0.6194  0.1122  0.1400  0.0599  1.3396  34.5435  0.0000  0.0000
0.6714  0.1098  0.1359  0.0566  1.3391  32.4080  0.0000  0.0000
0.7206  0.1066  0.1331  0.0534  1.3383  30.5905  0.0000  0.0000
0.7666  0.1018  0.1326  0.0506  1.3377  29.0505  0.0000  0.0000
0.8090  0.0952  0.1352  0.0486  1.3375  27.7543  0.0000  0.0000
0.8478  0.0873  0.1415  0.0470  1.3374  26.6632  0.0000  0.0000
0.8825  0.0792  0.1493  0.0451  1.3366  25.7376  0.0000  0.0000
0.9131  0.0715  0.1570  0.0426  1.3346  24.9502  0.0000  0.0000
0.9393  0.0615  0.1703  0.0416  1.3344  24.3322  0.0000  0.0000
0.9610  0.0489  0.1830  0.0421  1.3358  23.8677  0.0000  0.0000
0.9780  0.0360  0.1610  0.0433  1.3382  23.5358  0.0000  0.0000
0.9902  0.0234  0.1168  0.0449  1.3411  23.3214  0.0000  0.0000
0.9975  0.0113  0.0614  0.0463  1.3434  23.2039  0.0000  0.0000
1.0000  0.0000  0.0000  0.0468  1.3443  23.1668  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
