		 Schroefblad350 (600rpm)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Apr-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 600 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.0358  0.6917  47.3312  0.0000  0.0000
0.2655  0.0843  0.2765  0.0268  0.6830  39.3133  0.0000  0.0000
0.3276  0.0942  0.2262  0.0219  0.6823  33.5396  0.0000  0.0000
0.3890  0.1031  0.1875  0.0183  0.6817  29.1514  0.0000  0.0000
0.4493  0.1095  0.1659  0.0158  0.6812  25.7635  0.0000  0.0000
0.5080  0.1133  0.1534  0.0140  0.6808  23.1047  0.0000  0.0000
0.5648  0.1138  0.1452  0.0127  0.6807  20.9877  0.0000  0.0000
0.6194  0.1122  0.1400  0.0117  0.6806  19.2783  0.0000  0.0000
0.6714  0.1098  0.1359  0.0109  0.6805  17.8808  0.0000  0.0000
0.7206  0.1066  0.1331  0.0102  0.6804  16.7291  0.0000  0.0000
0.7666  0.1018  0.1326  0.0096  0.6804  15.7758  0.0000  0.0000
0.8090  0.0952  0.1352  0.0092  0.6804  14.9858  0.0000  0.0000
0.8478  0.0873  0.1415  0.0088  0.6804  14.3303  0.0000  0.0000
0.8825  0.0792  0.1493  0.0085  0.6803  13.7860  0.0000  0.0000
0.9131  0.0715  0.1570  0.0080  0.6800  13.3358  0.0000  0.0000
0.9393  0.0615  0.1703  0.0078  0.6800  12.9764  0.0000  0.0000
0.9610  0.0489  0.1830  0.0079  0.6803  12.6980  0.0000  0.0000
0.9780  0.0360  0.1610  0.0081  0.6807  12.4923  0.0000  0.0000
0.9902  0.0234  0.1168  0.0085  0.6813  12.3527  0.0000  0.0000
0.9975  0.0113  0.0614  0.0087  0.6817  12.2724  0.0000  0.0000
1.0000  0.0000  0.0000  0.0088  0.6819  12.2462  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
