		 Testblad_Geometry.txt 

		 Propeller Geometry Table

Date and time: 14-May-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 350 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.0714  1.2770  63.4673  0.0000  0.0000
0.2655  0.0843  0.2765  0.0577  1.2360  55.9882  0.0000  0.0000
0.3276  0.0942  0.2262  0.0506  1.2295  50.0645  0.0000  0.0000
0.3890  0.1031  0.1875  0.0449  1.2256  45.0809  0.0000  0.0000
0.4493  0.1095  0.1659  0.0406  1.2233  40.9168  0.0000  0.0000
0.5080  0.1133  0.1534  0.0372  1.2219  37.4406  0.0000  0.0000
0.5648  0.1138  0.1452  0.0347  1.2213  34.5390  0.0000  0.0000
0.6194  0.1122  0.1400  0.0328  1.2210  32.1058  0.0000  0.0000
0.6714  0.1098  0.1359  0.0308  1.2205  30.0533  0.0000  0.0000
0.7206  0.1066  0.1331  0.0290  1.2199  28.3192  0.0000  0.0000
0.7666  0.1018  0.1326  0.0275  1.2194  26.8565  0.0000  0.0000
0.8090  0.0952  0.1352  0.0264  1.2192  25.6274  0.0000  0.0000
0.8478  0.0873  0.1415  0.0254  1.2191  24.5954  0.0000  0.0000
0.8825  0.0792  0.1493  0.0244  1.2187  23.7271  0.0000  0.0000
0.9131  0.0715  0.1570  0.0230  1.2176  22.9982  0.0000  0.0000
0.9393  0.0615  0.1703  0.0225  1.2174  22.4184  0.0000  0.0000
0.9610  0.0489  0.1830  0.0227  1.2181  21.9730  0.0000  0.0000
0.9780  0.0360  0.1610  0.0233  1.2194  21.6469  0.0000  0.0000
0.9902  0.0234  0.1168  0.0242  1.2209  21.4289  0.0000  0.0000
0.9975  0.0113  0.0614  0.0250  1.2222  21.3052  0.0000  0.0000
1.0000  0.0000  0.0000  0.0252  1.2227  21.2653  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
