		 Testsolar2020_Geometry.txt 

		 Propeller Geometry Table

Date and time: 03-Nov-2020

Propeller Diameter 	 = 0.3500 m
Number of Blades   	 = 2
Propeller Speed 	 = 413 RPM
Propeller Hub Diameter 	 = 0.0720 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2057  0.0714  0.3488  0.0703  2.7543  76.7948  0.0000  0.0000
0.2680  0.0848  0.2739  0.0608  2.6120  72.1320  0.0000  0.0000
0.3300  0.0945  0.2248  0.0570  2.5755  68.0755  0.0000  0.0000
0.3911  0.1034  0.1863  0.0541  2.5537  64.3043  0.0000  0.0000
0.4512  0.1097  0.1654  0.0522  2.5412  60.8494  0.0000  0.0000
0.5097  0.1134  0.1530  0.0508  2.5339  57.7108  0.0000  0.0000
0.5663  0.1138  0.1450  0.0501  2.5303  54.8880  0.0000  0.0000
0.6207  0.1122  0.1399  0.0495  2.5284  52.3577  0.0000  0.0000
0.6726  0.1098  0.1358  0.0485  2.5265  50.0930  0.0000  0.0000
0.7216  0.1065  0.1331  0.0473  2.5246  48.0790  0.0000  0.0000
0.7674  0.1017  0.1326  0.0462  2.5232  46.3056  0.0000  0.0000
0.8097  0.0951  0.1353  0.0454  2.5226  44.7613  0.0000  0.0000
0.8483  0.0872  0.1416  0.0447  2.5223  43.4238  0.0000  0.0000
0.8830  0.0792  0.1494  0.0436  2.5210  42.2658  0.0000  0.0000
0.9134  0.0714  0.1571  0.0419  2.5184  41.2699  0.0000  0.0000
0.9395  0.0614  0.1705  0.0413  2.5177  40.4633  0.0000  0.0000
0.9611  0.0488  0.1830  0.0421  2.5199  39.8463  0.0000  0.0000
0.9781  0.0359  0.1608  0.0436  2.5232  39.3924  0.0000  0.0000
0.9902  0.0233  0.1166  0.0452  2.5267  39.0840  0.0000  0.0000
0.9976  0.0113  0.0613  0.0463  2.5293  38.9059  0.0000  0.0000
1.0000  0.0000  0.0000  0.0468  2.5302  38.8477  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
