		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 18-Oct-2025

Propeller Diameter 	 = 0.2250 m
Number of Blades   	 = 2
Propeller Speed 	 = 1000 RPM
Propeller Hub Diameter 	 = 0.0400 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1778  0.0646  0.3920  0.0000  1.4935  69.4967  0.0000  0.0000
0.2423  0.0797  0.3013  0.0000  1.4934  62.9919  0.0000  0.0000
0.3064  0.0910  0.2398  0.0000  1.4933  57.1943  0.0000  0.0000
0.3697  0.1004  0.2006  0.0000  1.4934  52.1245  0.0000  0.0000
0.4319  0.1079  0.1706  0.0000  1.4933  47.7441  0.0000  0.0000
0.4924  0.1126  0.1564  0.0000  1.4933  43.9887  0.0000  0.0000
0.5511  0.1140  0.1468  0.0000  1.4933  40.7810  0.0000  0.0000
0.6074  0.1126  0.1411  0.0000  1.4933  38.0468  0.0000  0.0000
0.6611  0.1104  0.1367  0.0000  1.4933  35.7182  0.0000  0.0000
0.7118  0.1073  0.1335  0.0000  1.4933  33.7363  0.0000  0.0000
0.7592  0.1028  0.1325  0.0000  1.4933  32.0519  0.0000  0.0000
0.8030  0.0963  0.1346  0.0000  1.4933  30.6237  0.0000  0.0000
0.8430  0.0883  0.1406  0.0000  1.4933  29.4182  0.0000  0.0000
0.8788  0.0801  0.1484  0.0000  1.4933  28.4079  0.0000  0.0000
0.9104  0.0723  0.1561  0.0000  1.4933  27.5706  0.0000  0.0000
0.9374  0.0625  0.1690  0.0000  1.4933  26.8886  0.0000  0.0000
0.9598  0.0497  0.1832  0.0000  1.4933  26.3477  0.0000  0.0000
0.9773  0.0366  0.1627  0.0000  1.4934  25.9385  0.0000  0.0000
0.9899  0.0238  0.1184  0.0000  1.4935  25.6530  0.0000  0.0000
0.9975  0.0115  0.0624  0.0000  1.4936  25.4845  0.0000  0.0000
1.0000  0.0000  0.0000  0.0000  1.4937  25.4288  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
