		 Mini staartstuk v2_Geometry.txt 

		 Propeller Geometry Table

Date and time: 22-Oct-2025

Propeller Diameter 	 = 0.2500 m
Number of Blades   	 = 2
Propeller Speed 	 = 3500 RPM
Propeller Hub Diameter 	 = 0.0400 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1600  0.0600  0.4231  0.0427  0.4285  40.4454  0.0000  0.0000
0.2259  0.0761  0.3213  0.0281  0.4253  30.9332  0.0000  0.0000
0.2914  0.0887  0.2514  0.0208  0.4250  24.9045  0.0000  0.0000
0.3561  0.0984  0.2095  0.0165  0.4246  20.7828  0.0000  0.0000
0.4196  0.1067  0.1744  0.0135  0.4241  17.8349  0.0000  0.0000
0.4815  0.1120  0.1586  0.0115  0.4238  15.6522  0.0000  0.0000
0.5414  0.1140  0.1481  0.0102  0.4237  13.9883  0.0000  0.0000
0.5989  0.1129  0.1418  0.0093  0.4237  12.6906  0.0000  0.0000
0.6537  0.1107  0.1372  0.0086  0.4237  11.6576  0.0000  0.0000
0.7055  0.1077  0.1338  0.0081  0.4238  10.8235  0.0000  0.0000
0.7540  0.1034  0.1324  0.0077  0.4238  10.1444  0.0000  0.0000
0.7987  0.0970  0.1342  0.0074  0.4239   9.5892  0.0000  0.0000
0.8396  0.0891  0.1399  0.0072  0.4241   9.1341  0.0000  0.0000
0.8762  0.0808  0.1478  0.0070  0.4242   8.7597  0.0000  0.0000
0.9084  0.0728  0.1556  0.0067  0.4241   8.4514  0.0000  0.0000
0.9361  0.0631  0.1680  0.0065  0.4241   8.2063  0.0000  0.0000
0.9589  0.0503  0.1833  0.0067  0.4244   8.0185  0.0000  0.0000
0.9768  0.0370  0.1638  0.0069  0.4248   7.8808  0.0000  0.0000
0.9897  0.0240  0.1195  0.0071  0.4252   7.7877  0.0000  0.0000
0.9974  0.0117  0.0630  0.0073  0.4256   7.7342  0.0000  0.0000
1.0000  0.0000  0.0000  0.0074  0.4257   7.7168  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
