		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 26-Jul-2022

Propeller Diameter 	 = 0.3600 m
Number of Blades   	 = 3
Propeller Speed 	 = 1250 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8 (modified)
Thickness Type: NACA 65A010 (modified)
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2222  0.0752  0.3261  0.2515  0.8044  49.0440  0.0000  0.0000
0.2832  0.0874  0.2589  0.2224  0.8908  45.0307  0.0000  0.0000
0.3439  0.0966  0.2167  0.1952  0.9395  41.0119  0.0000  0.0000
0.4038  0.1049  0.1802  0.1726  0.9647  37.2522  0.0000  0.0000
0.4626  0.1106  0.1627  0.1563  0.9819  34.0458  0.0000  0.0000
0.5199  0.1137  0.1513  0.1441  0.9951  31.3524  0.0000  0.0000
0.5753  0.1136  0.1441  0.1359  1.0065  29.1128  0.0000  0.0000
0.6286  0.1119  0.1392  0.1291  1.0159  27.2217  0.0000  0.0000
0.6794  0.1094  0.1354  0.1227  1.0228  25.6034  0.0000  0.0000
0.7273  0.1060  0.1329  0.1168  1.0279  24.2197  0.0000  0.0000
0.7722  0.1011  0.1327  0.1120  1.0322  23.0500  0.0000  0.0000
0.8136  0.0943  0.1358  0.1086  1.0366  22.0737  0.0000  0.0000
0.8515  0.0865  0.1423  0.1059  1.0402  21.2498  0.0000  0.0000
0.8854  0.0786  0.1499  0.1023  1.0417  20.5312  0.0000  0.0000
0.9152  0.0709  0.1578  0.0975  1.0407  19.8975  0.0000  0.0000
0.9408  0.0608  0.1714  0.0958  1.0421  19.4226  0.0000  0.0000
0.9619  0.0483  0.1827  0.0976  1.0468  19.1061  0.0000  0.0000
0.9785  0.0355  0.1597  0.1008  1.0528  18.9058  0.0000  0.0000
0.9904  0.0231  0.1155  0.1045  1.0589  18.7943  0.0000  0.0000
0.9976  0.0112  0.0607  0.1074  1.0634  18.7421  0.0000  0.0000
1.0000  0.0000  0.0000  0.1084  1.0650  18.7273  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
