		 900 watt_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Jul-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.0625  1.2712  63.3621  0.0000  0.0000
0.2655  0.0843  0.2765  0.0506  1.2347  55.9598  0.0000  0.0000
0.3276  0.0942  0.2262  0.0444  1.2287  50.0463  0.0000  0.0000
0.3890  0.1031  0.1875  0.0395  1.2251  45.0699  0.0000  0.0000
0.4493  0.1095  0.1659  0.0357  1.2230  40.9100  0.0000  0.0000
0.5080  0.1133  0.1534  0.0327  1.2217  37.4362  0.0000  0.0000
0.5648  0.1138  0.1452  0.0306  1.2211  34.5351  0.0000  0.0000
0.6194  0.1122  0.1400  0.0288  1.2208  32.1020  0.0000  0.0000
0.6714  0.1098  0.1359  0.0271  1.2203  30.0502  0.0000  0.0000
0.7206  0.1066  0.1331  0.0255  1.2198  28.3170  0.0000  0.0000
0.7666  0.1018  0.1326  0.0242  1.2194  26.8551  0.0000  0.0000
0.8090  0.0952  0.1352  0.0232  1.2192  25.6262  0.0000  0.0000
0.8478  0.0873  0.1415  0.0224  1.2191  24.5943  0.0000  0.0000
0.8825  0.0792  0.1493  0.0215  1.2186  23.7268  0.0000  0.0000
0.9131  0.0715  0.1570  0.0203  1.2177  23.0000  0.0000  0.0000
0.9393  0.0615  0.1703  0.0198  1.2175  22.4204  0.0000  0.0000
0.9610  0.0489  0.1830  0.0200  1.2181  21.9735  0.0000  0.0000
0.9780  0.0360  0.1610  0.0206  1.2192  21.6451  0.0000  0.0000
0.9902  0.0234  0.1168  0.0213  1.2206  21.4243  0.0000  0.0000
0.9975  0.0113  0.0614  0.0220  1.2218  21.2985  0.0000  0.0000
1.0000  0.0000  0.0000  0.0222  1.2222  21.2578  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
