		 Contstante corde_Geometry.txt 

		 Propeller Geometry Table

Date and time: 09-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0800  0.3158  0.0913  0.9463  58.8836  0.0000  0.0000
0.2460  0.0800  0.2989  0.0844  0.9255  50.1346  0.0000  0.0000
0.3098  0.0800  0.2716  0.0804  0.9292  43.6726  0.0000  0.0000
0.3728  0.0800  0.2503  0.0760  0.9314  38.4923  0.0000  0.0000
0.4347  0.0800  0.2296  0.0712  0.9325  34.3291  0.0000  0.0000
0.4949  0.0800  0.2197  0.0661  0.9328  30.9609  0.0000  0.0000
0.5533  0.0800  0.2087  0.0610  0.9324  28.2109  0.0000  0.0000
0.6093  0.0800  0.1983  0.0560  0.9314  25.9467  0.0000  0.0000
0.6627  0.0800  0.1883  0.0511  0.9299  24.0669  0.0000  0.0000
0.7132  0.0800  0.1787  0.0463  0.9278  22.4941  0.0000  0.0000
0.7604  0.0801  0.1697  0.0417  0.9252  21.1718  0.0000  0.0000
0.8040  0.0800  0.1618  0.0372  0.9222  20.0587  0.0000  0.0000
0.8437  0.0793  0.1564  0.0331  0.9191  19.1229  0.0000  0.0000
0.8794  0.0774  0.1535  0.0294  0.9159  18.3414  0.0000  0.0000
0.9108  0.0728  0.1548  0.0267  0.9136  17.7067  0.0000  0.0000
0.9377  0.0628  0.1679  0.0259  0.9133  17.2245  0.0000  0.0000
0.9600  0.0493  0.1842  0.0264  0.9144  16.8678  0.0000  0.0000
0.9774  0.0361  0.1642  0.0276  0.9164  16.6183  0.0000  0.0000
0.9899  0.0234  0.1198  0.0292  0.9189  16.4612  0.0000  0.0000
0.9975  0.0113  0.0632  0.0305  0.9209  16.3773  0.0000  0.0000
1.0000  0.0000  0.0000  0.0310  0.9217  16.3512  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
