		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 11-Dec-2020

Propeller Diameter 	 = 0.4000 m
Number of Blades   	 = 2
Propeller Speed 	 = 1200 RPM
Propeller Hub Diameter 	 = 0.0720 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1800  0.0651  0.3883  0.0704  0.5991  46.6543  0.0000  0.0000
0.2443  0.0802  0.2989  0.0497  0.5871  37.4082  0.0000  0.0000
0.3083  0.0913  0.2385  0.0392  0.5868  31.2095  0.0000  0.0000
0.3714  0.1007  0.1994  0.0321  0.5860  26.6671  0.0000  0.0000
0.4334  0.1081  0.1701  0.0271  0.5853  23.2611  0.0000  0.0000
0.4938  0.1127  0.1561  0.0236  0.5848  20.6540  0.0000  0.0000
0.5523  0.1140  0.1467  0.0212  0.5846  18.6197  0.0000  0.0000
0.6084  0.1126  0.1410  0.0195  0.5846  17.0045  0.0000  0.0000
0.6620  0.1103  0.1366  0.0181  0.5845  15.6992  0.0000  0.0000
0.7125  0.1072  0.1335  0.0168  0.5845  14.6329  0.0000  0.0000
0.7598  0.1027  0.1325  0.0159  0.5844  13.7571  0.0000  0.0000
0.8035  0.0962  0.1346  0.0152  0.5845  13.0369  0.0000  0.0000
0.8434  0.0882  0.1407  0.0146  0.5847  12.4433  0.0000  0.0000
0.8792  0.0801  0.1485  0.0141  0.5846  11.9512  0.0000  0.0000
0.9106  0.0722  0.1562  0.0133  0.5842  11.5421  0.0000  0.0000
0.9376  0.0624  0.1691  0.0130  0.5842  11.2191  0.0000  0.0000
0.9599  0.0497  0.1832  0.0132  0.5847  10.9731  0.0000  0.0000
0.9773  0.0365  0.1625  0.0136  0.5854  10.7946  0.0000  0.0000
0.9899  0.0237  0.1182  0.0141  0.5863  10.6761  0.0000  0.0000
0.9975  0.0115  0.0623  0.0145  0.5870  10.6094  0.0000  0.0000
1.0000  0.0000  0.0000  0.0147  0.5872  10.5879  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
