		 DefaultPropeller1_Geometry.txt 

		 Propeller Geometry Table

Date and time: 19-Dec-2019

Propeller Diameter 	 = 0.7000 m
Number of Blades   	 = 2
Propeller Speed 	 = 412 RPM
Propeller Hub Diameter 	 = 0.1020 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1457  0.0563  0.4507  0.0065  0.5404  49.7323  0.0000  0.0000
0.2127  0.0730  0.3389  0.0045  0.5419  39.0343  0.0000  0.0000
0.2794  0.0867  0.2626  0.0034  0.5417  31.6825  0.0000  0.0000
0.3451  0.0968  0.2160  0.0028  0.5415  26.5393  0.0000  0.0000
0.4097  0.1056  0.1779  0.0023  0.5414  22.8141  0.0000  0.0000
0.4726  0.1114  0.1604  0.0020  0.5414  20.0317  0.0000  0.0000
0.5336  0.1140  0.1492  0.0017  0.5413  17.8976  0.0000  0.0000
0.5921  0.1132  0.1424  0.0016  0.5413  16.2260  0.0000  0.0000
0.6479  0.1110  0.1377  0.0015  0.5413  14.8938  0.0000  0.0000
0.7005  0.1081  0.1341  0.0014  0.5413  13.8182  0.0000  0.0000
0.7498  0.1038  0.1324  0.0013  0.5413  12.9418  0.0000  0.0000
0.7953  0.0976  0.1339  0.0012  0.5413  12.2239  0.0000  0.0000
0.8368  0.0896  0.1394  0.0012  0.5413  11.6345  0.0000  0.0000
0.8741  0.0813  0.1473  0.0011  0.5413  11.1512  0.0000  0.0000
0.9069  0.0732  0.1551  0.0011  0.5413  10.7572  0.0000  0.0000
0.9350  0.0636  0.1673  0.0010  0.5413  10.4412  0.0000  0.0000
0.9582  0.0508  0.1833  0.0011  0.5413  10.1940  0.0000  0.0000
0.9764  0.0373  0.1647  0.0011  0.5414  10.0095  0.0000  0.0000
0.9895  0.0243  0.1204  0.0011  0.5415   9.8822  0.0000  0.0000
0.9974  0.0118  0.0635  0.0012  0.5417   9.8079  0.0000  0.0000
1.0000  0.0000  0.0000  0.0012  0.5417   9.7835  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
