		 Fabricage Defo (C+T0)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 23-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0600  0.4167  0.0892  0.9139  57.9942  0.0000  0.0000
0.2460  0.0600  0.4167  0.0822  0.8944  49.1685  0.0000  0.0000
0.3098  0.0600  0.4167  0.0779  0.8956  42.6202  0.0000  0.0000
0.3728  0.0600  0.4167  0.0734  0.8965  37.4319  0.0000  0.0000
0.4347  0.0600  0.4166  0.0685  0.8969  33.2971  0.0000  0.0000
0.4949  0.0600  0.4167  0.0635  0.8967  29.9735  0.0000  0.0000
0.5533  0.0600  0.4169  0.0586  0.8961  27.2740  0.0000  0.0000
0.6093  0.0600  0.4165  0.0536  0.8950  25.0579  0.0000  0.0000
0.6627  0.0601  0.4159  0.0488  0.8933  23.2225  0.0000  0.0000
0.7132  0.0599  0.4174  0.0444  0.8915  21.6968  0.0000  0.0000
0.7604  0.0595  0.4201  0.0402  0.8893  20.4190  0.0000  0.0000
0.8040  0.0596  0.4194  0.0358  0.8863  19.3357  0.0000  0.0000
0.8437  0.0603  0.4146  0.0312  0.8825  18.4147  0.0000  0.0000
0.8794  0.0612  0.4083  0.0268  0.8784  17.6369  0.0000  0.0000
0.9108  0.0620  0.4031  0.0226  0.8741  16.9865  0.0000  0.0000
0.9377  0.0625  0.4003  0.0186  0.8697  16.4476  0.0000  0.0000
0.9600  0.0623  0.4013  0.0149  0.8653  16.0100  0.0000  0.0000
0.9774  0.0607  0.4118  0.0119  0.8615  15.6729  0.0000  0.0000
0.9899  0.0502  0.4982  0.0095  0.8586  15.4344  0.0000  0.0000
0.9975  0.0237  0.3914  0.0081  0.8568  15.2925  0.0000  0.0000
1.0000  0.0000  0.0000  0.0076  0.8562  15.2454  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
