		 Fabricageblad (1)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 09-Jan-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 500 RPM
Propeller Hub Diameter 	 = 0.0800 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1818  0.0656  0.6162  0.1108  0.9631  59.3282  0.0000  0.0000
0.2460  0.0805  0.3089  0.0840  0.9253  50.1293  0.0000  0.0000
0.3098  0.0915  0.2375  0.0704  0.9220  43.4494  0.0000  0.0000
0.3728  0.1009  0.1984  0.0604  0.9198  38.1420  0.0000  0.0000
0.4347  0.1082  0.1698  0.0527  0.9181  33.9143  0.0000  0.0000
0.4949  0.1127  0.1559  0.0470  0.9170  30.5309  0.0000  0.0000
0.5533  0.1140  0.1465  0.0429  0.9166  27.8037  0.0000  0.0000
0.6093  0.1126  0.1409  0.0399  0.9165  25.5838  0.0000  0.0000
0.6627  0.1103  0.1365  0.0371  0.9162  23.7526  0.0000  0.0000
0.7132  0.1072  0.1335  0.0346  0.9158  22.2323  0.0000  0.0000
0.7604  0.1026  0.1325  0.0326  0.9155  20.9686  0.0000  0.0000
0.8040  0.0961  0.1347  0.0310  0.9154  19.9211  0.0000  0.0000
0.8437  0.0882  0.1407  0.0299  0.9154  19.0517  0.0000  0.0000
0.8794  0.0800  0.1486  0.0286  0.9150  18.3248  0.0000  0.0000
0.9108  0.0722  0.1563  0.0269  0.9139  17.7135  0.0000  0.0000
0.9377  0.0623  0.1692  0.0263  0.9139  17.2343  0.0000  0.0000
0.9600  0.0496  0.1832  0.0265  0.9147  16.8720  0.0000  0.0000
0.9774  0.0365  0.1624  0.0271  0.9159  16.6091  0.0000  0.0000
0.9899  0.0237  0.1181  0.0279  0.9174  16.4354  0.0000  0.0000
0.9975  0.0115  0.0622  0.0286  0.9186  16.3380  0.0000  0.0000
1.0000  0.0000  0.0000  0.0289  0.9191  16.3067  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
