		 Kangoeroe(10km,400rpm)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 19-Aug-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 400 RPM
Propeller Hub Diameter 	 = 0.0740 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1682  0.0621  0.4084  0.0742  1.1211  64.7667  0.0000  0.0000
0.2334  0.0778  0.3118  0.0576  1.0809  55.8435  0.0000  0.0000
0.2983  0.0897  0.2457  0.0493  1.0746  48.9074  0.0000  0.0000
0.3624  0.0994  0.2056  0.0433  1.0714  43.2625  0.0000  0.0000
0.4252  0.1072  0.1726  0.0383  1.0692  38.6729  0.0000  0.0000
0.4865  0.1123  0.1576  0.0345  1.0679  34.9429  0.0000  0.0000
0.5458  0.1140  0.1475  0.0318  1.0673  31.8981  0.0000  0.0000
0.6028  0.1128  0.1415  0.0297  1.0670  29.3983  0.0000  0.0000
0.6571  0.1106  0.1369  0.0278  1.0667  27.3260  0.0000  0.0000
0.7084  0.1075  0.1337  0.0260  1.0663  25.5993  0.0000  0.0000
0.7564  0.1031  0.1324  0.0245  1.0659  24.1588  0.0000  0.0000
0.8007  0.0967  0.1344  0.0233  1.0657  22.9596  0.0000  0.0000
0.8411  0.0887  0.1402  0.0225  1.0656  21.9621  0.0000  0.0000
0.8774  0.0805  0.1481  0.0215  1.0653  21.1299  0.0000  0.0000
0.9093  0.0726  0.1558  0.0203  1.0644  20.4345  0.0000  0.0000
0.9367  0.0628  0.1685  0.0198  1.0643  19.8832  0.0000  0.0000
0.9593  0.0500  0.1833  0.0199  1.0648  19.4598  0.0000  0.0000
0.9770  0.0368  0.1633  0.0203  1.0657  19.1476  0.0000  0.0000
0.9898  0.0239  0.1190  0.0209  1.0668  18.9366  0.0000  0.0000
0.9974  0.0116  0.0627  0.0214  1.0677  18.8157  0.0000  0.0000
1.0000  0.0000  0.0000  0.0215  1.0680  18.7764  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
