		 SOLAR prop v3_Geometry.txt 

		 Propeller Geometry Table

Date and time: 17-Dec-2020

Propeller Diameter 	 = 0.3500 m
Number of Blades   	 = 2
Propeller Speed 	 = 600 RPM
Propeller Hub Diameter 	 = 0.0720 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 66 (DTRC modified)
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2057  0.0714  0.3488  0.0441  1.9388  71.5648  0.0000  0.0000
0.2680  0.0848  0.2739  0.0375  1.8872  65.9535  0.0000  0.0000
0.3300  0.0945  0.2248  0.0344  1.8749  61.0623  0.0000  0.0000
0.3911  0.1034  0.1863  0.0320  1.8677  56.6580  0.0000  0.0000
0.4512  0.1097  0.1654  0.0301  1.8634  52.7428  0.0000  0.0000
0.5097  0.1134  0.1530  0.0287  1.8609  49.2904  0.0000  0.0000
0.5663  0.1138  0.1450  0.0277  1.8596  46.2677  0.0000  0.0000
0.6207  0.1122  0.1399  0.0268  1.8589  43.6288  0.0000  0.0000
0.6726  0.1098  0.1358  0.0258  1.8581  41.3277  0.0000  0.0000
0.7216  0.1065  0.1331  0.0248  1.8573  39.3287  0.0000  0.0000
0.7674  0.1017  0.1326  0.0239  1.8566  37.6019  0.0000  0.0000
0.8097  0.0951  0.1353  0.0232  1.8563  36.1206  0.0000  0.0000
0.8483  0.0872  0.1416  0.0226  1.8561  34.8558  0.0000  0.0000
0.8830  0.0792  0.1494  0.0219  1.8555  33.7792  0.0000  0.0000
0.9134  0.0714  0.1571  0.0208  1.8543  32.8701  0.0000  0.0000
0.9395  0.0614  0.1705  0.0204  1.8540  32.1345  0.0000  0.0000
0.9611  0.0488  0.1830  0.0207  1.8548  31.5617  0.0000  0.0000
0.9781  0.0359  0.1608  0.0214  1.8561  31.1355  0.0000  0.0000
0.9902  0.0233  0.1166  0.0222  1.8577  30.8439  0.0000  0.0000
0.9976  0.0113  0.0613  0.0228  1.8589  30.6748  0.0000  0.0000
1.0000  0.0000  0.0000  0.0231  1.8594  30.6195  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
