		 Schroefblad350 (40N)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Apr-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 350 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.0322  1.1680  61.3693  0.0000  0.0000
0.2655  0.0843  0.2765  0.0260  1.1503  54.0557  0.0000  0.0000
0.3276  0.0942  0.2262  0.0227  1.1473  48.1029  0.0000  0.0000
0.3890  0.1031  0.1875  0.0201  1.1455  43.1456  0.0000  0.0000
0.4493  0.1095  0.1659  0.0181  1.1444  39.0354  0.0000  0.0000
0.5080  0.1133  0.1534  0.0165  1.1436  35.6270  0.0000  0.0000
0.5648  0.1138  0.1452  0.0154  1.1433  32.7946  0.0000  0.0000
0.6194  0.1122  0.1400  0.0145  1.1431  30.4305  0.0000  0.0000
0.6714  0.1098  0.1359  0.0136  1.1428  28.4473  0.0000  0.0000
0.7206  0.1066  0.1331  0.0128  1.1425  26.7795  0.0000  0.0000
0.7666  0.1018  0.1326  0.0121  1.1423  25.3765  0.0000  0.0000
0.8090  0.0952  0.1352  0.0116  1.1422  24.1983  0.0000  0.0000
0.8478  0.0873  0.1415  0.0112  1.1421  23.2105  0.0000  0.0000
0.8825  0.0792  0.1493  0.0107  1.1419  22.3840  0.0000  0.0000
0.9131  0.0715  0.1570  0.0101  1.1414  21.6969  0.0000  0.0000
0.9393  0.0615  0.1703  0.0099  1.1413  21.1446  0.0000  0.0000
0.9610  0.0489  0.1830  0.0099  1.1416  20.7135  0.0000  0.0000
0.9780  0.0360  0.1610  0.0102  1.1422  20.3927  0.0000  0.0000
0.9902  0.0234  0.1168  0.0106  1.1429  20.1731  0.0000  0.0000
0.9975  0.0113  0.0614  0.0109  1.1435  20.0459  0.0000  0.0000
1.0000  0.0000  0.0000  0.0110  1.1437  20.0043  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
