		 Schroefblad350 (4ms)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Apr-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 350 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.0513  1.7864  70.3574  0.0000  0.0000
0.2655  0.0843  0.2765  0.0431  1.7337  64.3078  0.0000  0.0000
0.3276  0.0942  0.2262  0.0393  1.7219  59.1303  0.0000  0.0000
0.3890  0.1031  0.1875  0.0362  1.7151  54.5263  0.0000  0.0000
0.4493  0.1095  0.1659  0.0338  1.7111  50.4825  0.0000  0.0000
0.5080  0.1133  0.1534  0.0319  1.7087  46.9564  0.0000  0.0000
0.5648  0.1138  0.1452  0.0306  1.7076  43.9005  0.0000  0.0000
0.6194  0.1122  0.1400  0.0295  1.7069  41.2563  0.0000  0.0000
0.6714  0.1098  0.1359  0.0282  1.7062  38.9677  0.0000  0.0000
0.7206  0.1066  0.1331  0.0270  1.7054  36.9921  0.0000  0.0000
0.7666  0.1018  0.1326  0.0259  1.7048  35.2951  0.0000  0.0000
0.8090  0.0952  0.1352  0.0250  1.7045  33.8466  0.0000  0.0000
0.8478  0.0873  0.1415  0.0244  1.7043  32.6149  0.0000  0.0000
0.8825  0.0792  0.1493  0.0235  1.7037  31.5696  0.0000  0.0000
0.9131  0.0715  0.1570  0.0223  1.7025  30.6880  0.0000  0.0000
0.9393  0.0615  0.1703  0.0219  1.7022  29.9777  0.0000  0.0000
0.9610  0.0489  0.1830  0.0222  1.7030  29.4267  0.0000  0.0000
0.9780  0.0360  0.1610  0.0229  1.7044  29.0185  0.0000  0.0000
0.9902  0.0234  0.1168  0.0237  1.7060  28.7408  0.0000  0.0000
0.9975  0.0113  0.0614  0.0244  1.7073  28.5808  0.0000  0.0000
1.0000  0.0000  0.0000  0.0246  1.7078  28.5286  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
