		 Solar_Geometry.txt 

		 Propeller Geometry Table

Date and time: 03-Nov-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 450 RPM
Propeller Hub Diameter 	 = 0.0740 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1682  0.0621  0.4084  0.0332  1.7498  73.1984  0.0000  0.0000
0.2334  0.0778  0.3118  0.0273  1.7069  66.7487  0.0000  0.0000
0.2983  0.0897  0.2457  0.0248  1.6970  61.0902  0.0000  0.0000
0.3624  0.0994  0.2056  0.0231  1.6919  56.0651  0.0000  0.0000
0.4252  0.1072  0.1726  0.0216  1.6887  51.6538  0.0000  0.0000
0.4865  0.1123  0.1576  0.0203  1.6869  47.8220  0.0000  0.0000
0.5458  0.1140  0.1475  0.0194  1.6859  44.5133  0.0000  0.0000
0.6028  0.1128  0.1415  0.0187  1.6854  41.6674  0.0000  0.0000
0.6571  0.1106  0.1369  0.0180  1.6849  39.2201  0.0000  0.0000
0.7084  0.1075  0.1337  0.0172  1.6843  37.1195  0.0000  0.0000
0.7564  0.1031  0.1324  0.0165  1.6839  35.3228  0.0000  0.0000
0.8007  0.0967  0.1344  0.0159  1.6836  33.7942  0.0000  0.0000
0.8411  0.0887  0.1402  0.0155  1.6835  32.4998  0.0000  0.0000
0.8774  0.0805  0.1481  0.0149  1.6831  31.4082  0.0000  0.0000
0.9093  0.0726  0.1558  0.0142  1.6823  30.4934  0.0000  0.0000
0.9367  0.0628  0.1685  0.0139  1.6821  29.7535  0.0000  0.0000
0.9593  0.0500  0.1833  0.0140  1.6825  29.1744  0.0000  0.0000
0.9770  0.0368  0.1633  0.0144  1.6834  28.7420  0.0000  0.0000
0.9898  0.0239  0.1190  0.0149  1.6844  28.4453  0.0000  0.0000
0.9974  0.0116  0.0627  0.0154  1.6853  28.2730  0.0000  0.0000
1.0000  0.0000  0.0000  0.0156  1.6857  28.2165  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
