		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 25-Oct-2021

Propeller Diameter 	 = 0.3000 m
Number of Blades   	 = 2
Propeller Speed 	 = 1500 RPM
Propeller Hub Diameter 	 = 0.0700 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2333  0.1668  0.1873  0.0213  1.0199  54.2928  0.0000  0.0000
0.2935  0.1798  0.1579  0.0183  1.0066  47.5116  0.0000  0.0000
0.3533  0.1928  0.1339  0.0162  1.0066  42.2069  0.0000  0.0000
0.4123  0.2048  0.1142  0.0144  1.0065  37.8488  0.0000  0.0000
0.4702  0.2150  0.0976  0.0129  1.0063  34.2612  0.0000  0.0000
0.5267  0.2233  0.0840  0.0116  1.0060  31.2977  0.0000  0.0000
0.5814  0.2292  0.0728  0.0105  1.0057  28.8376  0.0000  0.0000
0.6339  0.2320  0.0638  0.0095  1.0054  26.7861  0.0000  0.0000
0.6840  0.2318  0.0563  0.0087  1.0051  25.0678  0.0000  0.0000
0.7312  0.2289  0.0499  0.0080  1.0048  23.6235  0.0000  0.0000
0.7754  0.2227  0.0445  0.0075  1.0045  22.4079  0.0000  0.0000
0.8163  0.2129  0.0403  0.0070  1.0043  21.3850  0.0000  0.0000
0.8536  0.2007  0.0369  0.0065  1.0040  20.5259  0.0000  0.0000
0.8870  0.1870  0.0342  0.0061  1.0037  19.8073  0.0000  0.0000
0.9164  0.1711  0.0325  0.0056  1.0033  19.2118  0.0000  0.0000
0.9416  0.1492  0.0324  0.0055  1.0032  18.7321  0.0000  0.0000
0.9625  0.1201  0.0313  0.0055  1.0032  18.3548  0.0000  0.0000
0.9788  0.0889  0.0264  0.0055  1.0033  18.0695  0.0000  0.0000
0.9906  0.0581  0.0190  0.0055  1.0034  17.8706  0.0000  0.0000
0.9976  0.0283  0.0100  0.0055  1.0034  17.7532  0.0000  0.0000
1.0000  0.0010  0.0000  0.0055  1.0035  17.7144  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
